Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,166.5,-60.0,270.0,top
C1,126.5,-81.9625,270.0,top
C10,139.5375,-83.05,0.0,top
C11,144.0,-90.9625,270.0,top
C12,151.0,-92.2375,90.0,top
C13,141.6375,-58.5,0.0,top
C14,139.266377,-64.733623,45.0,top
C2,136.5,-81.9625,270.0,top
C3,151.1125,-83.0875,0.0,top
C4,151.0125,-81.0875,0.0,top
C5,148.15,-81.9125,90.0,top
C6,149.7875,-87.55,0.0,top
C7,142.15,-88.1875,270.0,top
C8,163.3025,-87.7225,90.0,top
C9,153.3125,-87.76,90.0,top
D1,156.3125,-98.835,0.0,top
D2,156.3125,-100.835,0.0,top
I2C1,141.19,-97.5,270.0,top
J1,129.5,-73.5,270.0,top
J2,151.275,-98.605,270.0,top
J3,138.79,-88.6925,270.0,top
J4,168.0,-76.85,0.0,top
L1,149.8,-85.55,180.0,top
L2,139.65,-85.1125,180.0,top
R1,135.63,-70.3025,90.0,top
R2,135.63,-77.4775,270.0,top
R3,133.63,-64.39,180.0,top
R4,166.5,-63.9,0.0,top
R5,163.275,-96.9225,270.0,top
R6,159.775,-98.835,180.0,top
R7,159.775,-100.835,180.0,top
R8,137.3825,-94.9125,180.0,top
R9,140.97,-94.9125,180.0,top
RST1,133.63,-60.29,270.0,top
U1,153.25,-63.83,0.0,top
U2,158.475,-95.135,90.0,top
U3,144.65,-84.05,180.0,top
U4,131.5,-84.0,90.0,top
U6,158.3125,-87.7225,270.0,top
Y1,147.65,-91.55,270.0,top
